AccountNumber,AcctName,CustomerAgeCategoryIndicator,AcctPaymentStatusIndicator,RepChangesinLast12Months_SUM,NumberOfProductionInstances_SUM,OptyWonLast12Months_Percent_SUM
ACCT0000005,"WagerWorks, Inc.",4,2,2,<Null>,0
ACCT0000006,OUHSC/IT,4,2,3,3,50
ACCT0000011,Allstate Corporation,3,2,1,1,22.22
ACCT0000026,Clark County Nevada,4,2,2,1,66.66
ACCT0000029,"AAA Northern California, Nevada & Utah Insurance Exchange",3,2,2,1,100
ACCT0000034,Edmunds.com Inc,4,2,1,1,33.33
ACCT0000045,"Harley-Davidson, Inc.",2,2,1,1,61.53
ACCT0000046,HCA Inc,1,2,2,1,100
ACCT0000051,International Financial Data Services (Canada) Ltd,3,2,2,1,100
ACCT0000055,Johnson & Johnson,4,2,1,2,50
ACCT0000058,Latham & Watkins LP,4,2,4,1,100
ACCT0000060,Life Time Fitness Inc,4,2,1,1,100
ACCT0000061,MadCatz,4,2,1,<Null>,100
ACCT0000069,Nationwide Mutual Insurance Company,2,2,1,1,100
ACCT0000070,New York State Office of the State Comptroller,2,2,1,1,100
ACCT0000080,Progress Energy Inc,4,2,1,<Null>,100
ACCT0000083,Qualcomm Incorporated,4,2,1,<Null>,76.92
ACCT0000084,Dell Software Inc. (Quest Software),4,2,1,3,<Null>
ACCT0000108,T.B. Penick & Sons Inc,4,1,1,1,<Null>
ACCT0000114,Toyota Motor Sales USA Inc,2,2,1,1,80
ACCT0000118,University of Kansas,4,2,2,1,<Null>
ACCT0000119,USAA,1,2,1,1,88.88
ACCT0000129,Teachers Insurance and Annuity Association of America,4,2,1,1,44.44
ACCT0000130,Verizon Wireless Inc,1,2,1,1,100
ACCT0000138,"TechFlow, Inc.",4,2,1,1,100
ACCT0000144,TEMENOS Software Luxembourg S.A. (former Odyssey),4,2,2,1,100
ACCT0000151,City of San Diego,1,2,2,1,88.88
ACCT0000163,Aetna Life Insurance Co,2,2,1,1,73.33
ACCT0000170,BlueCross BlueShield of Kansas City,3,2,2,1,42.85
ACCT0000173,Bristol-Myers Squibb Company,3,2,1,1,54.54
ACCT0000175,Caterpillar Inc,1,2,1,1,90.9
ACCT0000179,Colorado Springs Utilities,4,2,2,1,50
ACCT0000181,ConocoPhillips,2,2,4,1,50
ACCT0000184,Data Recognition Corp,2,2,2,1,100
ACCT0000186,Discover Financial Services,3,2,2,1,88.88
ACCT0000188,Express Scripts Holding Company,1,2,1,2,77.77
ACCT0000193,Honda of America Manufacturing Inc,2,2,1,1,100
ACCT0000199,Kohler Company,4,2,1,1,100
ACCT0000211,Publicis Groupe,4,2,1,<Null>,28.57
ACCT0000212,Royal Bank of Canada - Capital Markets,3,2,1,1,0
ACCT0000214,ShopKo Stores Operating Co. LLC,2,2,2,1,100
ACCT0000222,Time Warner Inc.,3,2,1,<Null>,20
ACCT0000226,Yahoo! Inc.,3,2,1,1,100
ACCT0000231,Bank of Montreal,1,2,1,1,62.5
ACCT0000238,Community Health Network,3,2,1,1,92.3
ACCT0000246,The Guardian Life Insurance Company of America,4,2,1,1,83.33
ACCT0000248,"Jo-Ann Stores, Inc",4,2,3,1,66.66
ACCT0000251,Lands' End Inc,4,2,2,1,50
ACCT0000252,La-Z-Boy Inc,2,2,1,1,100
ACCT0000257,New York Life Insurance Company,1,2,1,1,75
ACCT0000262,Sun Life Financial - Clairca,4,2,1,1,70
ACCT0000268,Vision Service Plan,1,2,1,1,80
ACCT0000273,Whirlpool Corporation,3,2,2,1,88.88
ACCT0000278,"Morgan Stanley Services Group, Inc.",4,2,3,1,40
ACCT0000283,"Prudential Financial, Inc.",3,2,1,1,100
ACCT0000285,Deutsche Bank AG,4,2,4,<Null>,30
ACCT0000287,Alcatel-Lucent Technologies Hosting Solutions,4,2,4,<Null>,0
ACCT0000288,County Of Ventura,4,2,2,1,83.33
ACCT0000298,Costco Wholesale Corporation,3,2,1,4,100
ACCT0000302,Gap Inc.,3,2,1,1,100
ACCT0000306,Alliant Insurance Services Inc,4,2,1,1,100
ACCT0000307,Group Health Cooperative,2,2,3,1,0
ACCT0000309,Veolia Environment Plc,4,2,3,1,50
ACCT0000312,Larimer County,3,2,1,1,100
ACCT0000317,Cricket Communications Inc,4,2,1,<Null>,0
ACCT0000318,Vocus Inc,4,2,5,1,100
ACCT0000345,Legal & General Resources Ltd,2,2,3,1,66.66
ACCT0000360,Virgin Atlantic Airways Ltd,2,2,1,1,33.33
ACCT0000371,"Alere, Inc.",4,2,2,1,100
ACCT0000377,State Compensation Insurance Fund,3,2,2,1,100
ACCT0000380,Companies House,2,2,1,1,75
ACCT0000381,Predictive Technologies Inc,4,2,1,1,100
ACCT0000384,Forest City Enterprises Inc.,3,2,3,1,50
ACCT0000387,Brazos County,4,2,2,1,100
ACCT0000388,"Giant Eagle, Inc.",2,2,1,1,100
ACCT0000390,PPL Corporation,4,2,1,1,<Null>
ACCT0000391,Hershey Company,1,2,1,1,100
ACCT0000410,ARAMARK Corporation,4,2,1,1,<Null>
ACCT0000423,Shaw Industries Inc,4,2,1,1,60
