AccountNumber,AccountName,CompleteCustomerChurn
ACCT0000005,"WagerWorks, Inc.",1
ACCT0000006,OUHSC IT,0
ACCT0000011,Allstate Corporation,0
ACCT0000026,Clark County Nevada,0
ACCT0000029,"AAA Northern California, Nevada & Utah Insurance Exchange",0
ACCT0000034,Edmunds.com Inc,0
ACCT0000045,"Harley-Davidson, Inc.",0
ACCT0000046,HCA Inc,0
ACCT0000051,International Financial Data Services (Canada) Ltd,0
ACCT0000055,Johnson  Johnson,0
ACCT0000058,Latham  Watkins LP,0
ACCT0000060,Life Time Fitness Inc,0
ACCT0000061,MadCatz,1
ACCT0000069,Nationwide Mutual Insurance Company,0
ACCT0000070,New York State Office of the State Comptroller,0
ACCT0000080,Progress Energy Inc,1
ACCT0000083,Qualcomm Incorporated,0
ACCT0000084,Dell Software Inc. (Quest Software),0
ACCT0000108,T.B. Penick & Sons Inc,0
ACCT0000114,Toyota Motor Sales USA Inc,0
ACCT0000118,University of Kansas,0
ACCT0000119,USAA,0
ACCT0000129,Teachers Insurance and Annuity Association of America,0
ACCT0000130,Verizon Wireless Inc,0
ACCT0000138,"TechFlow, Inc.",0
ACCT0000144,TEMENOS Software Luxembourg S.A. (former Odyssey),0
ACCT0000151,City of San Diego,0
ACCT0000163,Aetna Life Insurance Co,0
ACCT0000170,BlueCross BlueShield of Kansas City,0
ACCT0000173,Bristol-Myers Squibb Company,0
ACCT0000175,Caterpillar Inc,0
ACCT0000179,Colorado Springs Utilities,0
ACCT0000181,ConocoPhillips,0
ACCT0000184,Data Recognition Corp,0
ACCT0000186,Discover Financial Services,0
ACCT0000188,Express Scripts Holding Company,0
ACCT0000193,Honda of America Manufacturing Inc,0
ACCT0000199,Kohler Company,0
ACCT0000211,Publicis Groupe,0
ACCT0000214,ShopKo Stores Operating Co. LLC,0
ACCT0000222,Time Warner Inc.,1
ACCT0000226,Yahoo! Inc.,0
ACCT0000231,Bank of Montreal,0
ACCT0000238,Community Health Network,0
ACCT0000246,The Guardian Life Insurance Company of America,0
ACCT0000248,"Jo-Ann Stores, Inc",0
ACCT0000251,Lands' End Inc,0
ACCT0000252,La-Z-Boy Inc,0
ACCT0000257,New York Life Insurance Company,0
ACCT0000262,Sun Life Financial - Clairca,0
ACCT0000268,Vision Service Plan,0
ACCT0000273,Whirlpool Corporation,0
ACCT0000278,"Morgan Stanley Services Group, Inc.",0
ACCT0000283,"Prudential Financial, Inc.",0
ACCT0000285,Deutsche Bank AG,0
ACCT0000287,Alcatel-Lucent Technologies Hosting Solutions,1
ACCT0000288,County Of Ventura,0
ACCT0000298,Costco Wholesale Corporation,0
ACCT0000302,Gap Inc.,0
ACCT0000306,Alliant Insurance Services Inc,0
ACCT0000307,Group Health Cooperative,0
ACCT0000309,Veolia Environment Plc,1
ACCT0000312,Larimer County,0
ACCT0000317,Cricket Communications Inc,1
ACCT0000318,Vocus Inc,0
ACCT0000345,Legal & General Resources Ltd,0
ACCT0000360,Virgin Atlantic Airways Ltd,0
ACCT0000371,"Alere, Inc.",0
ACCT0000377,State Compensation Insurance Fund,0
ACCT0000380,Companies House,0
ACCT0000381,Predictive Technologies Inc,0
ACCT0000384,Forest City Enterprises Inc.,0
ACCT0000387,Brazos County,0
ACCT0000388,"Giant Eagle, Inc.",0
ACCT0000390,PPL Corporation,0
ACCT0000391,Hershey Company,0
ACCT0000410,ARAMARK Corporation,0
ACCT0000423,Shaw Industries Inc,0
ACCT0000431,"NuVasive, Inc.",0
ACCT0000435,Watson Pharmaceuticals Inc,1
ACCT0000436,Millennium Pharmaceuticals Inc,1
ACCT0000446,Burnham Institute,0
ACCT0000465,ParenteBeard LLC,1
ACCT0000481,Smart and Final Inc,1
ACCT0000484,University of British Columbia,0
ACCT0000486,Active Network LLC,0
ACCT0000487,LPL Financial Corp,0
ACCT0000489,KEMET Corporation,1
ACCT0000503,"Ameren Services Company, Inc",0
ACCT0000504,Liberty University Inc,0
ACCT0000512,WellStar Health System Inc,0
ACCT0000525,Unum Group,0
ACCT0000538,Stanford University,0
ACCT0000544,BDO (formerly PKF),0
ACCT0000545,RealFoundations Inc,0
ACCT0000552,Major League Baseball,0
ACCT0000556,"Court Square Group, Inc.",0
ACCT0000562,MedImmune LLC,1
ACCT0000564,Gen-Probe Inc,1
ACCT0000570,"Advent Software, Inc.",0
ACCT0000572,Informatica LLC,0
ACCT0000581,Anchor Trust,1
ACCT0000582,Betfair,0
ACCT0000588,StepChange Debt Charity (former Consumer Credit Counselling Service),0
ACCT0000596,Burlington Coat Factory,0
ACCT0000606,"Juniper Networks, Inc.",0
ACCT0000607,"Plantronics, Inc.",0
ACCT0000621,"Illumina, Inc.",0
ACCT0000626,University Of Alabama At Birmingham,0
ACCT0000634,Medical Council Of Canada,0
ACCT0000636,Skills Development Scotland,0
ACCT0000637,EMC Corporation - Managed Services,0
ACCT0000638,Gannett Co Inc,0
ACCT0000639,Siemens AG,0
ACCT0000640,Verizon Wireline,0
ACCT0000647,Cisco CMS,0
ACCT0000659,RealNetworks Inc,0
ACCT0000669,CIT Group Inc.,0
ACCT0000670,HRB Tax Group Inc,0
ACCT0000671,"Hallmark Cards, Inc.",0
ACCT0000675,Springleaf Financial Inc,0
ACCT0000686,University of Minnesota,0
ACCT0000696,Gemological Institute of America Inc,0
ACCT0000698,Integris Health Inc,0
ACCT0000699,County of Sacramento,0
ACCT0000702,Carlson Companies,0
ACCT0000706,UCare Minnesota,0
ACCT0000708,Wisconsin Physicians Service Insurance Corporation,0
ACCT0000713,Cancer Council New South Wales,1
ACCT0000721,"Paychex, Inc.",0
ACCT0000729,"ResMed, Inc.",0
ACCT0000738,Procter & Gamble Company,0
ACCT0000741,"Hologic, Inc.",0
ACCT0000745,Glasshouse Technologies Ltd.,1
ACCT0000749,Florida Virtual School,0
ACCT0000753,City And County Of San Francisco Human Service Agency,0
ACCT0000761,OhioHealth Corporation,0
ACCT0000767,Autodesk - EIS,0
ACCT0000776,BlueCross BlueShield Of Minnesota,0
ACCT0000778,International Monetary Fund,0
ACCT0000781,Motorola Solutions Inc,0
ACCT0000782,Robert Half International Inc,0
ACCT0000785,StrataCare LLC,0
ACCT0000787,Hofstra University,0
ACCT0000788,Telos Corp,0
ACCT0000817,Sephora USA Inc,0
ACCT0000831,North Memorial Health Care,0
ACCT0000833,FirstCare Health Plans (Sha),1
ACCT0000838,San Antonio Community Hospital,1
ACCT0000853,Clean Harbors Inc,0
ACCT0000854,"Starwood Hotels & Resorts Worldwide, Inc.",0
ACCT0000862,University of San Francisco,0
ACCT0000863,PMC-Sierra Ltd,0
ACCT0000866,Jackson Laboratory,0
ACCT0000873,Ancestry.com,0
ACCT0000880,Bitbrains iT Services BV,0
ACCT0000893,Insurance Company of the West,0
ACCT0000894,Blackhawk Network,0
ACCT0000898,Solutia Inc,1
ACCT0000906,Steelcase Inc,0
ACCT0000912,AIG Global Services Inc,0
ACCT0000917,Ernst & Young LLP,0
ACCT0000918,Sisters Of Mercy Health System,0
ACCT0000919,Ferrellgas Partners LP,1
ACCT0000923,Papuan Oil Search Ltd,0
ACCT0000924,Commonwealth Bank of Australia,0
ACCT0000934,Marsh & McLennan Companies Inc,0
ACCT0000945,Viacom Inc,0
ACCT0000951,Dynea Oy,1
ACCT0000962,HealthPartners Inc,0
ACCT0000963,"ISG Information Services Group Americas, Inc., including Affiliates",0
ACCT0000965,Zamil Industrial Investment Co (ZIIC),0
ACCT0000970,United Nations Population Fund,0
ACCT0000973,BJ's Wholesale Club Inc,0
ACCT0000975,University of South Carolina,0
ACCT0000982,Manulife Financial,0
ACCT0000987,Federal Home Loan Bank of Des Moines,0
ACCT0000988,Stryker Corporation,0
ACCT0000989,"TJX Companies, Inc.",0
ACCT0000993,Ultradent,0
ACCT0000994,Wyndham Worldwide Corporation,0
ACCT0000998,TD Bank Financial Group,0
ACCT0001000,XL Group,0
ACCT0001003,SITA SC Switzerland,0
ACCT0001004,Thermo Fisher Scientific Inc,0
ACCT0001005,Viavi Solutions Inc.,0
ACCT0001006,Kronos Inc,0
ACCT0001012,Discovery Communications LLC,0
ACCT0001022,Hasbro Inc,0
ACCT0001032,Artio Global Investors Inc (formerly Julius Baer Americas Inc),1
ACCT0001033,Vertex Pharmaceuticals Incorporated,0
ACCT0001034,Sonora Quest Labs LLC,0
ACCT0001035,"Orrick, Herrington & Sutcliffe LLP",0
ACCT0001038,"Best Buy Co., Inc",1
ACCT0001039,Ecolab Inc.,0
ACCT0001047,Eli Lilly & Co,0
ACCT0001050,CBS Corp,0
ACCT0001057,NCB,0
ACCT0001059,Cymer LLC.,0
ACCT0001060,AllianceBernstein Holding LP,0
ACCT0001063,ING Direct,1
ACCT0001066,General Electric Company,0
ACCT0001067,NBA Properties Inc.,0
ACCT0001072,Neustar Information Services (TargusInfo),0
ACCT0001074,"CH Robinson Worldwide, Inc.",0
ACCT0001079,CentraCare Health Systems,0
ACCT0001080,"UniGroup, Inc.",0
ACCT0001086,Ball Corporation,0
ACCT0001092,Solutionary Inc,0
ACCT0001107,West Liberty Foods LLC,0
ACCT0001125,UNS Energy Corporation (Tucson Electric Power),0
ACCT0001144,Altru Health System,0
ACCT0001149,Washington Corporations,0
ACCT0001152,Helmerich & Payne Inc,0
ACCT0001153,"Williams Companies, Inc.",0
ACCT0001154,Salt River Project,0
ACCT0001159,"ONEOK, Inc.",0
ACCT0001162,Murphy Oil Corporation,0
ACCT0001171,AIMCO (Apartment Investment and Management Co.),1
ACCT0001179,Casey's General Stores Inc,0
ACCT0001182,Acxiom Corporation,0
ACCT0001184,Arizona Public Service,0
ACCT0001215,Kiewit Corporation,0
ACCT0001222,UnityPoint Health,0
ACCT0001223,PetSmart Inc,0
ACCT0001228,Amkor Technology Inc,0
ACCT0001230,Intermountain Healthcare Inc,0
ACCT0001241,TeleTech Holdings Inc.,0
ACCT0001244,"Dillard's, Inc.",0
ACCT0001250,Starz Entertainment LLC,0
ACCT0001257,A.M. Castle & Co.,0
ACCT0001277,"Associated Wholesale Grocers, Inc.",0
ACCT0001285,BDO USA LLP,0
ACCT0001290,Brunswick Corporation,0
ACCT0001291,Career Education Corp.,0
ACCT0001298,City of Chicago,0
ACCT0001300,Ingredion Incorporated,0
ACCT0001329,GGP Limited Partnership,0
ACCT0001336,Hospira Inc,0
ACCT0001348,Kansas City Southern,0
ACCT0001353,Maritz Inc.,0
ACCT0001365,The Northern Trust Company,0
ACCT0001379,RR Donnelley - USA,0
ACCT0001381,RGA Reinsurance Company,0
ACCT0001391,Sears Holdings Corporation,0
ACCT0001417,University of Chicago - School,0
ACCT0001421,"W.W. Grainger, Inc.",0
ACCT0001424,"Westar Energy, Inc.",0
