AccountNumber,TotalActivityCount_SUM,
ACCT0000006,848,
ACCT0000011,242,
ACCT0000026,547,
ACCT0000029,490,
ACCT0000034,10,
ACCT0000045,258,
ACCT0000046,182,
ACCT0000051,146,
ACCT0000055,344,
ACCT0000058,125,
ACCT0000060,32,
ACCT0000069,309,
ACCT0000070,91,
ACCT0000083,327,
ACCT0000114,644,
ACCT0000118,364,
ACCT0000119,542,
ACCT0000129,223,
ACCT0000130,282,
ACCT0000151,82,
ACCT0000163,261,
ACCT0000170,83,
ACCT0000173,68,
ACCT0000175,233,
ACCT0000179,205,
ACCT0000181,209,
ACCT0000184,1,
ACCT0000186,143,
ACCT0000188,74,
ACCT0000193,326,
ACCT0000199,310,
ACCT0000211,133,
ACCT0000222,28,
ACCT0000226,160,
ACCT0000231,36,
ACCT0000238,91,
ACCT0000246,237,
ACCT0000248,190,
ACCT0000251,41,
ACCT0000252,190,
ACCT0000257,144,
ACCT0000262,89,
ACCT0000268,62,
ACCT0000273,93,
ACCT0000278,47,
ACCT0000283,237,
ACCT0000285,"4,099",
ACCT0000288,94,
ACCT0000298,499,
ACCT0000302,142,
ACCT0000307,233,
ACCT0000312,13,
ACCT0000317,5,
ACCT0000318,2,
ACCT0000345,1,
ACCT0000360,42,
ACCT0000371,20,
ACCT0000377,178,
ACCT0000380,4,
ACCT0000384,229,
ACCT0000387,18,
ACCT0000388,44,
ACCT0000390,248,
ACCT0000391,31,
ACCT0000410,32,
ACCT0000423,443,
ACCT0000431,30,
ACCT0000465,2,
ACCT0000484,149,
ACCT0000486,133,
ACCT0000503,452,
ACCT0000504,133,
ACCT0000512,4,
ACCT0000525,421,
ACCT0000538,368,
ACCT0000544,14,
ACCT0000545,15,
ACCT0000552,26,
ACCT0000570,40,
ACCT0000572,8,
ACCT0000582,2,
ACCT0000588,53,
ACCT0000596,149,
ACCT0000606,79,
ACCT0000607,96,
ACCT0000621,252,
ACCT0000626,200,
ACCT0000637,328,
ACCT0000638,183,
ACCT0000639,44,
ACCT0000640,354,
ACCT0000647,269,
ACCT0000659,1,
ACCT0000669,13,
ACCT0000671,322,
ACCT0000675,27,
ACCT0000686,252,
ACCT0000696,240,
ACCT0000698,329,
ACCT0000699,37,
ACCT0000702,49,
ACCT0000706,150,
ACCT0000708,155,
ACCT0000721,122,
ACCT0000729,192,
ACCT0000738,28,
ACCT0000741,95,
ACCT0000749,242,
ACCT0000753,21,
ACCT0000761,363,
ACCT0000767,61,
ACCT0000776,111,
ACCT0000778,276,
ACCT0000781,180,
ACCT0000782,140,
ACCT0000785,5,
ACCT0000787,36,
ACCT0000788,245,
ACCT0000817,42,
ACCT0000831,755,
ACCT0000853,82,
ACCT0000854,105,
ACCT0000862,54,
ACCT0000863,16,
ACCT0000866,64,
ACCT0000873,140,
ACCT0000880,17,
ACCT0000893,12,
ACCT0000894,117,
ACCT0000906,112,
ACCT0000912,43,
ACCT0000917,417,
ACCT0000918,22,
ACCT0000923,11,
ACCT0000924,310,
ACCT0000934,136,
ACCT0000945,22,
ACCT0000962,236,
ACCT0000965,70,
ACCT0000970,7,
ACCT0000973,80,
ACCT0000975,470,
ACCT0000982,33,
ACCT0000988,432,
ACCT0000989,288,
ACCT0000993,98,
ACCT0000994,138,
ACCT0000998,60,
ACCT0001000,108,
ACCT0001003,21,
ACCT0001004,399,
ACCT0001005,14,
ACCT0001006,69,
ACCT0001012,123,
ACCT0001022,27,
ACCT0001033,204,
ACCT0001038,134,
ACCT0001039,171,
ACCT0001047,533,
ACCT0001050,235,
ACCT0001057,1,
ACCT0001059,30,
ACCT0001060,18,
ACCT0001066,146,
ACCT0001074,388,
ACCT0001079,238,
ACCT0001080,332,
ACCT0001086,69,
ACCT0001092,8,
ACCT0001107,354,
ACCT0001125,129,
ACCT0001144,27,
ACCT0001149,4,
ACCT0001152,64,
ACCT0001153,96,
ACCT0001154,410,
ACCT0001159,174,
ACCT0001162,371,
ACCT0001171,3,
ACCT0001179,11,
ACCT0001182,704,
ACCT0001184,56,
ACCT0001215,238,
ACCT0001222,46,
ACCT0001223,208,
ACCT0001228,4,
ACCT0001230,544,
ACCT0001241,217,
ACCT0001244,32,
ACCT0001250,55,
