AccountNumber,FulfillerPriceCategoryIndicator,,
ACCT0000006,1,,
ACCT0000011,1,,
ACCT0000026,2,,
ACCT0000029,1,,
ACCT0000034,1,,
ACCT0000045,3,,
ACCT0000046,3,,
ACCT0000051,2,,
ACCT0000055,1,,
ACCT0000058,1,,
ACCT0000060,3,,
ACCT0000069,2,,
ACCT0000070,2,,
ACCT0000083,2,,
ACCT0000084,2,,
ACCT0000108,2,,
ACCT0000114,3,,
ACCT0000118,2,,
ACCT0000119,3,,
ACCT0000129,2,,
ACCT0000130,2,,
ACCT0000138,3,,
ACCT0000144,1,,
ACCT0000151,2,,
ACCT0000163,3,,
ACCT0000170,3,,
ACCT0000173,2,,
ACCT0000175,3,,
ACCT0000179,2,,
ACCT0000181,2,,
ACCT0000184,1,,
ACCT0000186,2,,
ACCT0000188,3,,
ACCT0000193,3,,
ACCT0000199,2,,
ACCT0000211,3,,
ACCT0000214,3,,
ACCT0000226,2,,
ACCT0000231,3,,
ACCT0000238,3,,
ACCT0000246,2,,
ACCT0000248,1,,
ACCT0000251,2,,
ACCT0000252,2,,
ACCT0000257,2,,
ACCT0000262,2,,
ACCT0000268,3,,
ACCT0000273,3,,
ACCT0000278,1,,
ACCT0000283,3,,
ACCT0000285,1,,
ACCT0000288,2,,
ACCT0000298,3,,
ACCT0000302,3,,
ACCT0000306,1,,
ACCT0000307,2,,
ACCT0000309,2,,
ACCT0000312,2,,
ACCT0000318,1,,
ACCT0000345,2,,
ACCT0000360,2,,
ACCT0000371,2.00E+00,,
ACCT0000377,2,,
ACCT0000380,1,,
ACCT0000381,2,,
ACCT0000384,2,,
ACCT0000387,2,,
ACCT0000388,2,,
ACCT0000390,3,,
ACCT0000391,2,,
ACCT0000410,2,,
ACCT0000423,2,,
ACCT0000431,2,,
ACCT0000436,2,,
ACCT0000446,2,,
ACCT0000465,2,,
ACCT0000484,1,,
ACCT0000486,2,,
ACCT0000487,2,,
ACCT0000503,3,,
ACCT0000504,1,,
ACCT0000512,3,,
ACCT0000525,2,,
ACCT0000538,1,,
ACCT0000544,2,,
ACCT0000545,3,,
ACCT0000552,2,,
ACCT0000556,1,,
ACCT0000562,3,,
ACCT0000570,1,,
ACCT0000572,2,,
ACCT0000582,3,,
ACCT0000588,3,,
ACCT0000596,1,,
ACCT0000606,3,,
ACCT0000607,2,,
ACCT0000621,2,,
ACCT0000626,1,,
ACCT0000634,1,,
ACCT0000636,3,,
ACCT0000637,3,,
ACCT0000638,1,,
ACCT0000639,1,,
ACCT0000640,2,,
ACCT0000647,2,,
ACCT0000659,2,,
ACCT0000669,3,,
ACCT0000670,2,,
ACCT0000671,3,,
ACCT0000675,3,,
ACCT0000686,2,,
ACCT0000696,2,,
ACCT0000698,2,,
ACCT0000699,1,,
ACCT0000702,2,,
ACCT0000706,2,,
ACCT0000708,3,,
ACCT0000721,3,,
ACCT0000729,3,,
ACCT0000738,3,,
ACCT0000741,3,,
ACCT0000749,1,,
ACCT0000753,1,,
ACCT0000761,2,,
ACCT0000767,2,,
ACCT0000776,3,,
ACCT0000778,2,,
ACCT0000781,2,,
ACCT0000782,2,,
ACCT0000785,2,,
ACCT0000787,3,,
ACCT0000788,2,,
ACCT0000817,2,,
ACCT0000831,2,,
ACCT0000853,2,,
ACCT0000854,2,,
ACCT0000862,1,,
ACCT0000863,2,,
ACCT0000866,3,,
ACCT0000873,1,,
ACCT0000880,2,,
ACCT0000893,2,,
ACCT0000894,3.00E+00,,
ACCT0000906,1,,
ACCT0000912,2,,
ACCT0000917,1,,
ACCT0000918,2,,
ACCT0000923,3,,
ACCT0000924,3,,
ACCT0000934,2,,
ACCT0000945,2,,
ACCT0000962,3,,
ACCT0000963,3.00E+00,,
ACCT0000965,3,,
ACCT0000970,3,,
ACCT0000973,2,,
ACCT0000975,3,,
ACCT0000982,3,,
ACCT0000987,3,,
ACCT0000988,3,,
ACCT0000989,3,,
ACCT0000993,3,,
ACCT0000994,3,,
ACCT0000998,2,,
ACCT0001000,3,,
ACCT0001003,3,,
ACCT0001004,3,,
ACCT0001005,3,,
ACCT0001006,2,,
ACCT0001012,2,,
ACCT0001022,3,,
ACCT0001033,2,,
ACCT0001034,3,,
ACCT0001035,3,,
ACCT0001039,3,,
ACCT0001047,1,,
ACCT0001050,2,,
ACCT0001057,2,,
ACCT0001059,3,,
ACCT0001060,1,,
ACCT0001066,1,,
ACCT0001067,1,,
ACCT0001072,1,,
ACCT0001074,1,,
ACCT0001079,2,,
ACCT0001080,2,,
ACCT0001086,3,,
ACCT0001092,2,,
ACCT0001107,2,,
ACCT0001125,3,,
ACCT0001144,3,,
ACCT0001149,2,,
ACCT0001152,3,,
ACCT0001153,3,,
ACCT0001154,1,,
ACCT0001159,3,,
ACCT0001162,2,,
ACCT0001179,2,,
ACCT0001182,2,,
ACCT0001184,2,,
ACCT0001215,3,,
ACCT0001222,3,,
ACCT0001223,3,,
ACCT0001228,1,,
ACCT0001230,3,,
ACCT0001241,1,,
ACCT0001244,2,,
ACCT0001250,2,,
ACCT0001257,3,,
ACCT0001277,3,,
ACCT0001285,2,,
ACCT0001290,2,,
ACCT0001291,2,,
ACCT0001298,2,,
ACCT0001300,1,,
ACCT0001329,3,,
ACCT0001336,3,,
ACCT0001348,2,,
ACCT0001353,2,,
ACCT0001365,1,,
ACCT0001379,3,,
ACCT0001381,3,,
ACCT0001391,3,,
ACCT0001417,2,,
ACCT0001421,3,,
ACCT0001424,3,,
ACCT0001425,2,,
ACCT0001432,3,,
ACCT0001433,1,,
ACCT0001436,3,,
ACCT0001439,2,,
ACCT0001440,2,,
ACCT0001448,1,,
ACCT0001452,3,,
ACCT0001453,3,,
ACCT0001456,3,,
ACCT0001467,3,,
ACCT0001469,2,,
ACCT0001471,3,,
ACCT0001472,2,,
ACCT0001475,2,,
ACCT0001476,1,,
ACCT0001483,3,,
ACCT0001494,3,,
ACCT0001495,2,,
ACCT0001506,1,,
ACCT0001507,2,,
ACCT0001509,3,,
ACCT0001511,3,,
ACCT0001513,2,,
ACCT0001514,3,,
ACCT0001522,3,,
ACCT0001528,2,,
ACCT0001531,3,,
ACCT0001533,2,,
ACCT0001534,2,,
ACCT0001539,3,,
ACCT0001540,2,,
ACCT0001551,3,,
ACCT0001567,2,,
ACCT0001573,2,,
ACCT0001577,2,,
ACCT0001584,3,,
ACCT0001596,3,,
ACCT0001603,3,,
ACCT0001615,3,,
ACCT0001623,3,,
ACCT0001624,1,,
ACCT0001630,2,,
ACCT0001631,2,,
ACCT0001632,3,,
ACCT0001633,2,,
ACCT0001635,3,,
ACCT0001647,3,,
ACCT0001650,3,,
ACCT0001661,1,,
ACCT0001662,2,,
ACCT0001671,3,,
ACCT0001675,2,,
ACCT0001678,3,,
ACCT0001681,2,,
ACCT0001692,2,,
ACCT0001694,2,,
ACCT0001696,2,,
ACCT0001700,2,,
ACCT0001704,2,,
ACCT0001708,3,,
ACCT0001721,2,,
ACCT0001722,3,,
ACCT0001731,1,,
ACCT0001737,3,,
ACCT0001738,3,,
ACCT0001754,3,,
ACCT0001755,3,,
ACCT0001766,1,,
ACCT0001772,2,,
ACCT0001775,3,,
ACCT0001779,3,,
ACCT0001789,1,,
ACCT0001792,3,,
ACCT0001793,3,,
ACCT0001835,3,,
ACCT0001836,2,,
ACCT0001839,1.00E+00,,
ACCT0001840,2,,
ACCT0001841,2,,
ACCT0001845,2,,
ACCT0001846,1,,
ACCT0001847,3,,
ACCT0001852,1,,
ACCT0001875,3,,
ACCT0001908,2,,
ACCT0001923,3,,
ACCT0001931,2,,
ACCT0001955,2,,
ACCT0001957,2,,
ACCT0001975,1,,
ACCT0001981,2,,
ACCT0002017,2,,
ACCT0002020,1,,
ACCT0002025,3,,
ACCT0002028,3,,
ACCT0002037,2,,
ACCT0002044,2,,
ACCT0002049,2,,
ACCT0002052,2,,
ACCT0002065,3,,
ACCT0002079,2,,
ACCT0002096,2,,
ACCT0002102,2,,
ACCT0002104,2.00E+00,,
ACCT0002141,3,,
ACCT0002166,2,,
ACCT0002183,3,,
ACCT0002189,2,,
ACCT0002192,2,,
ACCT0002195,2,,
ACCT0002209,3,,
ACCT0002230,3.00E+00,,
ACCT0002237,3,,
ACCT0002241,3,,
ACCT0002245,3,,
ACCT0002250,1,,
ACCT0002261,1,,
ACCT0002283,3,,
ACCT0002290,2,,
ACCT0002291,3,,
ACCT0002308,2,,
ACCT0002313,3,,
ACCT0002317,2,,
ACCT0002328,2,,
ACCT0002329,3,,
ACCT0002330,3,,
ACCT0002332,3,,
ACCT0002340,1,,
ACCT0002342,2,,
ACCT0002351,3,,
ACCT0002354,2,,
ACCT0002355,2,,
ACCT0002357,2,,
ACCT0002373,3,,
ACCT0002376,3,,
ACCT0002377,2,,
ACCT0002381,2,,
ACCT0002384,3,,
ACCT0002385,2,,
ACCT0002387,2,,
ACCT0002390,3,,
ACCT0002404,2,,
ACCT0002410,3,,
ACCT0002414,1,,
ACCT0002431,3,,
ACCT0002437,1,,
ACCT0002453,2,,
ACCT0002463,2.00E+00,,
ACCT0002468,3,,
ACCT0002469,2,,
ACCT0002491,2,,
ACCT0002492,2,,
ACCT0002499,2.00E+00,,
ACCT0002516,3,,
ACCT0002533,2,,
ACCT0002564,2,,
ACCT0002577,1,,
ACCT0002581,2,,
ACCT0002583,2,,
ACCT0002584,1,,
ACCT0002592,3,,
ACCT0002606,2,,
ACCT0002629,1,,
ACCT0002646,3,,
ACCT0002649,3,,
ACCT0002651,3,,
ACCT0002665,2,,
ACCT0002678,2,,
ACCT0002681,1,,
ACCT0002683,2,,
ACCT0002693,2,,
ACCT0002695,2,,
ACCT0002717,2,,
ACCT0002750,2,,
ACCT0002766,1,,
ACCT0002818,2,,
ACCT0002829,1,,
ACCT0002843,2.00E+00,,
ACCT0002847,2,,
ACCT0002884,3,,
ACCT0002887,3,,
ACCT0002932,2,,
ACCT0002940,2,,
ACCT0002957,3,,
ACCT0002993,3,,
ACCT0003009,2,,
ACCT0003010,3,,
