AccountNumber,AcctName,TotalAdoptionPercent,LicensedAdoptionPercent,AdoptionCategoryIndicator,LicensingCategoryIndicator
ACCT0000006,OUHSC/IT,48.148,86.666,5,2
ACCT0000011,Allstate Corporation,51.851,93.333,5,2
ACCT0000026,Clark County Nevada,44.444,80,4,2
ACCT0000029,"AAA Northern California, Nevada & Utah Insurance Exchange",55.555,93.75,5,3
ACCT0000034,Edmunds.com Inc,25.925,46.666,2,2
ACCT0000045,"Harley-Davidson, Inc.",81.481,122.222,5,3
ACCT0000046,HCA Inc,11.111,33.333,1,1
ACCT0000051,International Financial Data Services (Canada) Ltd,40.74,73.333,4,2
ACCT0000055,Johnson & Johnson,51.851,87.5,5,3
ACCT0000058,Latham & Watkins LP,40.74,68.75,4,3
ACCT0000060,Life Time Fitness Inc,81.481,110,5,3
ACCT0000069,Nationwide Mutual Insurance Company,14.814,57.142,2,1
ACCT0000070,New York State Office of the State Comptroller,25.925,50,2,2
ACCT0000084,Dell Software Inc. (Quest Software),29.629,53.333,3,2
ACCT0000108,T.B. Penick & Sons Inc,11.111,21,1,2
ACCT0000114,Toyota Motor Sales USA Inc,74.074,117.647,5,3
ACCT0000118,University of Kansas,44.444,85.714,4,2
ACCT0000119,USAA,40.74,64.705,4,3
ACCT0000130,Verizon Wireless Inc,18.518,33.333,2,2
ACCT0000138,"TechFlow, Inc.",11.111,20,1,2
ACCT0000144,TEMENOS Software Luxembourg S.A. (former Odyssey),18.518,35.714,2,2
ACCT0000151,City of San Diego,11.111,<Null>,1,4
ACCT0000163,Aetna Life Insurance Co,55.555,93.75,5,3
ACCT0000170,BlueCross BlueShield of Kansas City,33.333,60,3,2
ACCT0000173,Bristol-Myers Squibb Company,44.444,80,4,2
ACCT0000175,Caterpillar Inc,22.222,46.153,2,2
ACCT0000179,Colorado Springs Utilities,48.148,81.25,5,3
ACCT0000181,ConocoPhillips,44.444,85.714,4,2
ACCT0000184,Data Recognition Corp,33.333,100,3,1
ACCT0000186,Discover Financial Services,62.962,113.333,5,2
ACCT0000188,Express Scripts Holding Company,25.925,70,2,1
ACCT0000193,Honda of America Manufacturing Inc,37.037,71.428,4,2
ACCT0000199,Kohler Company,55.555,88.235,5,3
ACCT0000214,ShopKo Stores Operating Co. LLC,40.74,78.571,4,2
ACCT0000226,Yahoo! Inc.,48.148,81.25,5,3
ACCT0000231,Bank of Montreal,22.222,75,2,1
ACCT0000238,Community Health Network,55.555,100,5,2
ACCT0000246,The Guardian Life Insurance Company of America,44.444,70.588,4,3
ACCT0000248,"Jo-Ann Stores, Inc",48.148,86.666,5,2
ACCT0000251,Lands' End Inc,37.037,66.666,4,2
ACCT0000252,La-Z-Boy Inc,25.925,50,2,2
ACCT0000257,New York Life Insurance Company,29.629,72.727,3,2
ACCT0000262,Sun Life Financial - Clairca,40.74,73.333,4,2
ACCT0000268,Vision Service Plan,48.148,130,5,1
ACCT0000273,Whirlpool Corporation,88.888,240,5,1
ACCT0000278,"Morgan Stanley Services Group, Inc.",48.148,86.666,5,2
ACCT0000283,"Prudential Financial, Inc.",51.851,87.5,5,3
ACCT0000288,County Of Ventura,40.74,73.333,4,2
ACCT0000298,Costco Wholesale Corporation,85.185,135.294,5,3
ACCT0000302,Gap Inc.,48.148,76.47,5,3
