AccountNumber,UsageRiskIndicator_SUM
ACCT0000006,1
ACCT0000011,0
ACCT0000026,0
ACCT0000029,0
ACCT0000034,0
ACCT0000045,0
ACCT0000046,2
ACCT0000051,0
ACCT0000055,0
ACCT0000058,0
ACCT0000060,5
ACCT0000069,0
ACCT0000070,1
ACCT0000084,1
ACCT0000108,12
ACCT0000114,0
ACCT0000118,1
ACCT0000119,1
ACCT0000129,0
ACCT0000130,0
ACCT0000138,2
ACCT0000144,12
ACCT0000151,2
ACCT0000163,1
ACCT0000170,0
ACCT0000173,1
ACCT0000175,0
ACCT0000179,1
ACCT0000181,0
ACCT0000184,0
ACCT0000186,1
ACCT0000188,0
ACCT0000193,1
ACCT0000199,1
ACCT0000214,0
ACCT0000226,3
ACCT0000231,1
ACCT0000238,0
ACCT0000246,0
ACCT0000248,1
ACCT0000251,0
ACCT0000252,0
ACCT0000257,0
ACCT0000262,12
ACCT0000268,0
ACCT0000273,0
ACCT0000278,0
ACCT0000283,0
ACCT0000288,0
ACCT0000298,1
ACCT0000302,2
ACCT0000306,0
ACCT0000307,0
ACCT0000309,5
ACCT0000312,1
ACCT0000318,0
ACCT0000345,1
ACCT0000360,0
ACCT0000371,12
ACCT0000377,2
ACCT0000380,0
ACCT0000381,2
ACCT0000384,0
ACCT0000387,0
ACCT0000388,0
ACCT0000390,0
ACCT0000391,0
ACCT0000410,0
ACCT0000423,1
ACCT0000431,0
ACCT0000484,0
ACCT0000486,2
ACCT0000487,0
ACCT0000503,0
ACCT0000504,0
ACCT0000512,0
ACCT0000525,1
ACCT0000538,0
ACCT0000544,0
ACCT0000545,0
ACCT0000552,1
ACCT0000556,12
ACCT0000562,2
ACCT0000570,0
ACCT0000572,2
ACCT0000582,0
ACCT0000588,0
ACCT0000596,0
ACCT0000606,2
ACCT0000607,0
ACCT0000621,0
ACCT0000626,0
ACCT0000634,9
ACCT0000636,1
ACCT0000637,2
ACCT0000638,0
ACCT0000639,0
ACCT0000640,0
ACCT0000647,2
ACCT0000659,2
ACCT0000669,0
ACCT0000670,0
ACCT0000671,0
ACCT0000675,0
ACCT0000686,0
ACCT0000696,3
ACCT0000698,1
ACCT0000699,0
ACCT0000702,0
ACCT0000706,0
ACCT0000708,0
ACCT0000721,1
ACCT0000729,0
ACCT0000738,0
ACCT0000741,0
ACCT0000749,1
ACCT0000753,0
ACCT0000761,0
ACCT0000767,0
ACCT0000776,0
ACCT0000778,1
ACCT0000781,0
ACCT0000782,1
ACCT0000785,0
ACCT0000787,0
ACCT0000788,0
ACCT0000817,1
ACCT0000831,1
ACCT0000853,0
ACCT0000854,1
ACCT0000862,1
ACCT0000863,0
ACCT0000866,1
ACCT0000873,0
ACCT0000880,0
ACCT0000893,2
ACCT0000894,1
ACCT0000906,0
ACCT0000917,0
ACCT0000918,0
ACCT0000923,1
ACCT0000924,0
ACCT0000934,2
ACCT0000945,1
ACCT0000962,1
ACCT0000963,2
ACCT0000965,5
